Matrix                       ,Thread ,RCM ,RACE_efficiency ,Iter ,ResNorm       ,ErrNorm       ,ActualIter ,Preprocessing-time ,Perf_COLOR_KACZ_Q0 ,Perf_COLOR_KACZ_Q25 ,Perf_COLOR_KACZ_Q50 ,Perf_COLOR_KACZ_Q75 ,Perf_COLOR_KACZ_Q100 
bone010.mtx                  ,16     ,    ,=80+80          ,500  , 1.100648e-02 , 1.006179e-03 , 500       ,0.231285           ,27.069567          ,27.067617           ,27.054907           ,27.049927           ,27.030510
bone010.mtx                  ,32     ,    ,=80+80          ,500  , 1.171013e-02 , 1.006179e-03 , 500       ,0.429406           ,41.471927          ,41.463807           ,41.449288           ,41.421482           ,41.401269
bone010.mtx                  ,38     ,    ,=80+80          ,500  , 1.157671e-02 , 1.006179e-03 , 500       ,0.479602           ,44.546555          ,44.540878           ,44.528009           ,44.513090           ,44.499607
dielFilterV3real.mtx         ,1      ,    ,=80+80          ,510  , 4.587057e-05 , 3.718231e-04 , 510       ,6.542283           ,2.220690           ,2.220083            ,2.219804            ,2.219532            ,2.219009
dielFilterV3real.mtx         ,2      ,    ,=80+80          ,510  , 4.586216e-05 , 3.718237e-04 , 510       ,6.125625           ,4.341022           ,4.340760            ,4.340382            ,4.340174            ,4.338617
dielFilterV3real.mtx         ,4      ,    ,=80+80          ,510  , 4.571530e-05 , 3.718245e-04 , 510       ,5.940275           ,8.241975           ,8.241309            ,8.240532            ,8.237902            ,8.235792
dielFilterV3real.mtx         ,8      ,    ,=80+80          ,510  , 4.554830e-05 , 3.718258e-04 , 510       ,5.806898           ,15.311169          ,15.309656           ,15.306418           ,15.302342           ,15.299105
dielFilterV3real.mtx         ,16     ,    ,=80+80          ,510  , 4.551850e-05 , 3.718321e-04 , 510       ,5.829224           ,24.709943          ,24.703989           ,24.702609           ,24.701153           ,24.688189
dielFilterV3real.mtx         ,32     ,    ,=80+80          ,510  , 4.756657e-05 , 3.718886e-04 , 510       ,5.998641           ,40.106990          ,40.088474           ,40.075097           ,40.067752           ,40.051493
dielFilterV3real.mtx         ,38     ,    ,=80+80          ,510  , 4.727933e-05 , 3.718945e-04 , 510       ,6.066757           ,42.625724          ,42.609554           ,42.596531           ,42.582020           ,42.569639
thermal2.mtx                 ,1      ,    ,=40             ,510  , 2.075280e-06 , 9.012782e-04 , 510       ,1.076849           ,1.127350           ,1.127289            ,1.126764            ,1.126347            ,1.126139
thermal2.mtx                 ,2      ,    ,=40             ,510  , 2.075280e-06 , 9.012782e-04 , 510       ,0.983766           ,2.246255           ,2.245504            ,2.245173            ,2.244429            ,2.243938
thermal2.mtx                 ,4      ,    ,=40             ,510  , 2.075280e-06 , 9.012782e-04 , 510       ,0.948072           ,4.477144           ,4.476477            ,4.473067            ,4.470180            ,4.468270
