Matrix                       ,Thread ,RCM ,Iter ,ResNorm       ,ErrNorm       ,ActualIter ,Preprocessing-time ,Perf_COLOR_KACZ_Q0 ,Perf_COLOR_KACZ_Q25 ,Perf_COLOR_KACZ_Q50 ,Perf_COLOR_KACZ_Q75 ,Perf_COLOR_KACZ_Q100 
HPCG-128-128-128.mtx         ,38     ,    ,510  , 1.663237e-04 , 1.480267e-04 , 510       ,129.156249         ,41.718588          ,41.701113           ,41.694739           ,41.689610           ,41.440630
Anderson-16.5.mtx            ,38     ,    ,500  , 3.878643e-06 , 4.032512e-05 , 500       ,73.542533          ,34.275789          ,34.260723           ,34.250922           ,34.226680           ,34.130150
FreeBosonChain-18.mtx        ,38     ,    ,1350 , 8.865479e-08 , 1.328360e-06 , 1350      ,319.873849         ,16.123356          ,16.121694           ,16.103068           ,16.100353           ,16.056352
nlpkkt120.mtx                ,38     ,    ,500  , 1.092178e-03 , 3.786014e-04 , 500       ,345.037199         ,41.409122          ,41.401827           ,41.382763           ,41.353341           ,41.078183
rajat31.mtx                  ,38     ,    ,500  , 6.244524e-05 , 3.772815e-04 , 500       ,101.048032         ,27.936532          ,27.922261           ,27.912319           ,27.904481           ,27.768255
channel-500x100x100-b050.mtx ,38     ,    ,670  , 4.374088e-09 , 2.905602e-06 , 670       ,291.703485         ,39.824101          ,39.821471           ,39.811104           ,39.789286           ,39.717488
HPCG-192-192-192.mtx         ,38     ,    ,510  , 3.634237e-05 , 3.602097e-04 , 510       ,520.038209         ,38.642166          ,38.636108           ,38.627585           ,38.607162           ,38.544724
FreeFermionChain-26.mtx      ,38     ,    ,950  , 6.753066e-08 , 5.251761e-07 , 950       ,1330.892943        ,13.259399          ,13.243301           ,13.229180           ,13.219517           ,13.211706
Spin-26.mtx                  ,38     ,    ,500  , 6.952992e-06 , 1.892961e-05 , 500       ,1222.862236        ,15.382848          ,15.368376           ,15.354387           ,15.339934           ,15.302007
Hubbard-14.mtx               ,38     ,    ,1590 , 2.359252e-08 , 2.695420e-07 , 1590      ,1508.384712        ,14.077426          ,14.071445           ,14.061617           ,14.059875           ,14.044671
nlpkkt200.mtx                ,38     ,    ,510  , 4.864352e-04 , 1.825440e-04 , 510       ,1673.002258        ,33.230274          ,33.228203           ,33.218122           ,33.204835           ,33.199325
delaunay_n24.mtx             ,38     ,    ,510  , 3.444403e-07 , 6.333651e-06 , 510       ,486.671169         ,23.714890          ,23.707112           ,23.699957           ,23.676626           ,23.647086
Graphene-4096.mtx            ,38     ,    ,490  , 8.254081e-09 , 2.485514e-07 , 490       ,547.115666         ,34.457850          ,34.448813           ,34.445599           ,34.397080           ,34.368501
